entry,ep,exit,xp,pnl,bars,type
2022-11-30 06:00:00,1805.3347779541136,2022-12-02 00:00:00,1834.452193324763,-1.612854065972541,42,SHORT
2022-12-02 14:00:00,1820.0048504932815,2022-12-14 01:00:00,1788.7423910803905,-1.7177129722713604,275,LONG
2022-12-14 13:00:00,1811.1785105146369,2022-12-16 03:00:00,1842.12078195378,-1.7084053978948193,38,SHORT
2022-12-16 19:00:00,1836.572637345979,2022-12-20 18:00:00,1802.3892127209704,-1.8612617834929175,95,LONG
2022-12-21 06:00:00,1816.4286504225104,2022-12-23 03:00:00,1844.023418788213,-1.519177114899825,45,SHORT
2022-12-23 18:00:00,1837.8232282593865,2022-12-27 08:00:00,1804.8412689285487,-1.794620876681114,86,LONG
2022-12-27 22:00:00,1820.8181086330949,2022-12-30 03:00:00,1859.651889166073,-2.1327655051789347,53,SHORT
2022-12-30 16:00:00,1837.9012622358905,2023-01-04 02:00:00,1807.940202582917,-1.6301778701933383,106,LONG
2023-01-04 19:00:00,1821.712704652112,2023-01-05 03:00:00,1853.05914025833,-1.720712356353912,8,SHORT
2023-01-06 01:00:00,1840.2265278605,2023-01-10 11:00:00,1812.2280539994813,-1.5214688755503685,106,LONG
2023-01-11 11:00:00,1831.9016802256288,2023-01-13 16:00:00,1865.2118007429872,-1.8183356059401474,53,SHORT
2023-01-14 09:00:00,1859.4775828491747,2023-01-16 14:00:00,1825.0086436804736,-1.8536894172118104,53,LONG
2023-01-18 06:00:00,1840.16681082104,2023-01-20 00:00:00,1868.6662949981333,-1.548744603451332,42,SHORT
2023-01-21 14:00:00,1866.957486330828,2023-01-24 06:00:00,1835.3444325731489,-1.6932926426626336,64,LONG
2023-01-25 00:00:00,1845.9529627719096,2023-01-27 00:00:00,1878.0676306384892,-1.7397338130629134,48,SHORT
2023-01-28 04:00:00,1864.239445833843,2023-02-01 02:00:00,1832.06005892782,-1.7261402218441892,94,LONG
2023-02-01 18:00:00,1842.81840347454,2023-02-03 00:00:00,1872.96374053251,-1.6358278711094096,30,SHORT
2023-02-03 23:00:00,1869.9710338391449,2023-02-06 21:00:00,1835.5748546696573,-1.8393963621388565,70,LONG
2023-02-09 02:00:00,1855.215535255096,2023-02-10 18:00:00,1885.1956707107088,-1.6159920443686033,40,SHORT
